current_season,month,numerator,population,jurisdiction,estimate,age_group_label,legend 
2022-23,AUG,59,80919,West Virginia,0.0007,9-12 years,"2022-23, West Virginia: 9-12 years"
2022-23,DEC,10822,8832618,New Jersey,0.0012,Overall,"2022-23, New Jersey: Overall"
2022-23,FEB,,,Massachusetts,,5-8 years,"2022-23, Massachusetts: 5-8 years"
2022-23,FEB,92937,291284,Minnesota,0.3191,5-8 years,"2022-23, Minnesota: 5-8 years"
2022-23,JAN,31963,75066,Maine,0.4258,13-17 years,"2022-23, Maine: 13-17 years"
2022-23,MAY,39466,108572.5,Missouri,0.3635,6-23 months,"2022-23, Missouri: 6-23 months"
2022-23,NOV,,,Hawaii,,6-23 months,"2022-23, Hawaii: 6-23 months"
2021-22,JUL,15,213250,Utah,0.0001,9-12 years,"2021-22, Utah: 9-12 years"
2021-22,JUN,40925,164299,Kentucky,0.2491,2-4 years,"2021-22, Kentucky: 2-4 years"
2021-22,JUN,1546704,6559310,New York City,0.2358,18+ years,"2021-22, New York City: 18+ years"
2022-23,JUL,3,301025,Maryland,9.9659e-06,9-12 years,"2022-23, Maryland: 9-12 years"
2023-24,FEB,210018,293776,Maine,0.7149,65+ years,"2023-24, Maine: 65+ years"
2023-24,JAN,34285,241497,Louisiana,0.142,9-12 years,"2023-24, Louisiana: 9-12 years"
2023-24,JUL,75,3539890,Connecticut,0,Overall,"2023-24, Connecticut: Overall"
2023-24,NOV,321448,2072888.5,Michigan,0.1551,6 months to 17 years,"2023-24, Michigan: 6 months to 17 years"
2021-22,DEC,190669,975661.5,Kentucky,0.1954,6 months to 17 years,"2021-22, Kentucky: 6 months to 17 years"
2021-22,JAN,801274,4140953,Florida,0.1935,6 months to 17 years,"2021-22, Florida: 6 months to 17 years"
2021-22,JUL,36,361410,Pennsylvania (excluding Philadelphia County),0.0001,2-4 years,"2021-22, Pennsylvania (excluding Philadelphia County): 2-4 years"
2021-22,JUN,40309,55949,Maine,0.7205,9-12 years,"2021-22, Maine: 9-12 years"
2021-22,MAR,50654,286150,Kentucky,0.177,13-17 years,"2021-22, Kentucky: 13-17 years"
2021-22,MAR,366189,1526214,Indiana,0.2399,6 months to 17 years,"2021-22, Indiana: 6 months to 17 years"
2023-24,JAN,1047,7989,Federated States of Micronesia,0.1311,9-12 years,"2023-24, Federated States of Micronesia: 9-12 years"
2023-24,MAR,3772,49666,Federated States of Micronesia,0.0759,18-49 years,"2023-24, Federated States of Micronesia: 18-49 years"
2022-23,FEB,,,Virginia,,65+ years,"2022-23, Virginia: 65+ years"
2022-23,JAN,76532,123141,North Dakota,0.6215,65+ years,"2022-23, North Dakota: 65+ years"
2022-23,NOV,,,Hawaii,,18+ years,"2022-23, Hawaii: 18+ years"
2022-23,OCT,245,5706,Federated States of Micronesia,0.0429,2-4 years,"2022-23, Federated States of Micronesia: 2-4 years"
2022-23,SEP,61155,2273653,Mississippi,0.0269,18+ years,"2022-23, Mississippi: 18+ years"
2023-24,FEB,80530,479456,Arizona,0.168,13-17 years,"2023-24, Arizona: 13-17 years"
2021-22,NOV,23019,105409,District of Columbia,0.2184,50-64 years,"2021-22, District of Columbia: 50-64 years"
2022-23,APR,3157,9510.5,Wyoming,0.3319,6-23 months,"2022-23, Wyoming: 6-23 months"
2022-23,APR,39533,89833,District of Columbia,0.4401,65+ years,"2022-23, District of Columbia: 65+ years"
2022-23,AUG,8,8832618,New Jersey,9.0573e-07,Overall,"2022-23, New Jersey: Overall"
2022-23,AUG,4987,4220498,Oregon,0.0012,Overall,"2022-23, Oregon: Overall"
2022-23,FEB,52026,208457,Iowa,0.2496,13-17 years,"2022-23, Iowa: 13-17 years"
2021-22,FEB,117773,332603,Florida,0.3541,6-23 months,"2021-22, Florida: 6-23 months"
2021-22,JUN,,,New Hampshire,,6 months to 17 years,"2021-22, New Hampshire: 6 months to 17 years"
2021-22,JUN,204221,955019,Florida,0.2138,9-12 years,"2021-22, Florida: 9-12 years"
2021-22,JUN,1904715,4574131,Wisconsin,0.4164,18+ years,"2021-22, Wisconsin: 18+ years"
2021-22,NOV,3671,166917,Guam,0.022,Overall,"2021-22, Guam: Overall"
2022-23,AUG,56,1258.5,American Samoa,0.0445,6-23 months,"2022-23, American Samoa: 6-23 months"
2022-23,AUG,,,Massachusetts,,9-12 years,"2022-23, Massachusetts: 9-12 years"
2022-23,FEB,27690,55949,Maine,0.4949,9-12 years,"2022-23, Maine: 9-12 years"
2022-23,FEB,82413,475421,Michigan,0.1733,9-12 years,"2022-23, Michigan: 9-12 years"
2023-24,JAN,8772,51927,Montana,0.1689,5-8 years,"2023-24, Montana: 5-8 years"
2023-24,SEP,16247,579166.5,Wyoming,0.0281,Overall,"2023-24, Wyoming: Overall"
2021-22,DEC,9139,32005,District of Columbia,0.2855,5-8 years,"2021-22, District of Columbia: 5-8 years"
2021-22,DEC,27082,89833,District of Columbia,0.3015,65+ years,"2021-22, District of Columbia: 65+ years"
2021-22,OCT,31779,260352,Arizona,0.1221,2-4 years,"2021-22, Arizona: 2-4 years"
2022-23,APR,26853,155373,Oklahoma,0.1728,2-4 years,"2022-23, Oklahoma: 2-4 years"
2022-23,AUG,40,51927,Montana,0.0008,5-8 years,"2022-23, Montana: 5-8 years"
2022-23,JAN,14833,59835,South Dakota,0.2479,13-17 years,"2022-23, South Dakota: 13-17 years"
2022-23,MAR,629655,2341888,Wisconsin,0.2689,18-49 years,"2022-23, Wisconsin: 18-49 years"
2022-23,NOV,33230,201249,Arkansas,0.1651,13-17 years,"2022-23, Arkansas: 13-17 years"
2022-23,OCT,748,12246,Federated States of Micronesia,0.0611,50-64 years,"2022-23, Federated States of Micronesia: 50-64 years"
2023-24,AUG,8495,3027263,Oklahoma,0.0028,18+ years,"2023-24, Oklahoma: 18+ years"
2023-24,DEC,68587,171599,Pennsylvania (excluding Philadelphia County),0.3997,6-23 months,"2023-24, Pennsylvania (excluding Philadelphia County): 6-23 months"
2023-24,FEB,,,Kansas,,6-23 months,"2023-24, Kansas: 6-23 months"
2021-22,APR,29354,109896,New Mexico,0.2671,9-12 years,"2021-22, New Mexico: 9-12 years"
2021-22,AUG,1894,155850,New York City,0.0122,6-23 months,"2021-22, New York City: 6-23 months"
2021-22,JUN,3516807,11026194,New York (excluding New York City),0.319,Overall,"2021-22, New York (excluding New York City): Overall"
2021-22,NOV,159733,1059160,Alabama,0.1508,6 months to 17 years,"2021-22, Alabama: 6 months to 17 years"
2022-23,APR,17144,58703,Delaware,0.292,13-17 years,"2022-23, Delaware: 13-17 years"
2022-23,MAR,6024,13527.5,District of Columbia,0.4453,6-23 months,"2022-23, District of Columbia: 6-23 months"
2023-24,AUG,0,101371,Federated States of Micronesia,0,Overall,"2023-24, Federated States of Micronesia: Overall"
2023-24,DEC,992243,1812441,Michigan,0.5475,65+ years,"2023-24, Michigan: 65+ years"
2021-22,NOV,1017620,3539890,Connecticut,0.2875,Overall,"2021-22, Connecticut: Overall"
2022-23,AUG,471,223108,Kentucky,0.0021,9-12 years,"2022-23, Kentucky: 9-12 years"
2022-23,AUG,,,Colorado,,18+ years,"2022-23, Colorado: 18+ years"
2022-23,MAY,,,Massachusetts,,5-8 years,"2022-23, Massachusetts: 5-8 years"
2023-24,JUL,50,955019,Florida,0.0001,9-12 years,"2023-24, Florida: 9-12 years"
2023-24,SEP,107929,770835,Kentucky,0.14,65+ years,"2023-24, Kentucky: 65+ years"
2021-22,APR,122529,332603,Florida,0.3684,6-23 months,"2021-22, Florida: 6-23 months"
2021-22,FEB,557,5080,Marshall Islands,0.1096,2-4 years,"2021-22, Marshall Islands: 2-4 years"
2021-22,JUL,19,962974,Alabama,0,50-64 years,"2021-22, Alabama: 50-64 years"
2021-22,JUN,293226,1335604.5,Missouri,0.2195,6 months to 17 years,"2021-22, Missouri: 6 months to 17 years"
2021-22,MAR,15145,80919,West Virginia,0.1872,9-12 years,"2021-22, West Virginia: 9-12 years"
2021-22,OCT,81499,436260,New York City,0.1868,13-17 years,"2021-22, New York City: 13-17 years"
2023-24,JAN,395342,2949076.5,Mississippi,0.1341,Overall,"2023-24, Mississippi: Overall"
2023-24,OCT,125421,850894,Montana,0.1474,18+ years,"2023-24, Montana: 18+ years"
2021-22,SEP,16400,200231,Ohio,0.0819,6-23 months,"2021-22, Ohio: 6-23 months"
2022-23,APR,257769,2056433,North Carolina,0.1253,50-64 years,"2022-23, North Carolina: 50-64 years"
2022-23,AUG,1192,433368,Tennessee,0.0028,13-17 years,"2022-23, Tennessee: 13-17 years"
2022-23,AUG,20,104275,Idaho,0.0002,9-12 years,"2022-23, Idaho: 9-12 years"
2022-23,SEP,37416,1997031,Alabama,0.0187,18-49 years,"2022-23, Alabama: 18-49 years"
2023-24,AUG,19193,1884782,New Jersey,0.0102,6 months to 17 years,"2023-24, New Jersey: 6 months to 17 years"
2021-22,AUG,7573,2512075,Maryland,0.003,18-49 years,"2021-22, Maryland: 18-49 years"
2021-22,AUG,,,Virginia,,6 months to 17 years,"2021-22, Virginia: 6 months to 17 years"
2021-22,JUL,101,3079500,Arizona,0,18-49 years,"2021-22, Arizona: 18-49 years"
2021-22,MAY,86670,200231,Ohio,0.4329,6-23 months,"2021-22, Ohio: 6-23 months"
2021-22,NOV,510959,1089714,Missouri,0.4689,65+ years,"2021-22, Missouri: 65+ years"
2021-22,OCT,,,South Carolina,,13-17 years,"2021-22, South Carolina: 13-17 years"
2021-22,SEP,9447,433368,Tennessee,0.0218,13-17 years,"2021-22, Tennessee: 13-17 years"
2022-23,DEC,162143,460217,Utah,0.3523,50-64 years,"2022-23, Utah: 50-64 years"
2023-24,JAN,742195,4712462,Ohio,0.1575,18-49 years,"2023-24, Ohio: 18-49 years"
2023-24,JAN,848420,4616751,Louisiana,0.1838,Overall,"2023-24, Louisiana: Overall"
2023-24,MAR,,,Colorado,,6-23 months,"2023-24, Colorado: 6-23 months"
2023-24,MAR,1378909,5188514,Indiana,0.2658,18+ years,"2023-24, Indiana: 18+ years"
2021-22,DEC,610490,3752487,New York City,0.1627,18-49 years,"2021-22, New York City: 18-49 years"
2021-22,JUN,359884,3079500,Arizona,0.1169,18-49 years,"2021-22, Arizona: 18-49 years"
2021-22,JUN,,,Kansas,,5-8 years,"2021-22, Kansas: 5-8 years"
2021-22,MAR,85611,157177,South Dakota,0.5447,65+ years,"2021-22, South Dakota: 65+ years"
2021-22,NOV,58829,675423.5,Mississippi,0.0871,6 months to 17 years,"2021-22, Mississippi: 6 months to 17 years"
2022-23,APR,182648,1997031,Alabama,0.0915,18-49 years,"2022-23, Alabama: 18-49 years"
2023-24,MAR,1568,31335,American Samoa,0.05,18+ years,"2023-24, American Samoa: 18+ years"
2023-24,OCT,88674,460217,Utah,0.1927,50-64 years,"2023-24, Utah: 50-64 years"
2022-23,APR,,,Colorado,,5-8 years,"2022-23, Colorado: 5-8 years"
2022-23,AUG,2591,197594,Delaware,0.0131,65+ years,"2022-23, Delaware: 65+ years"
2022-23,JUL,163,3079500,Arizona,0.0001,18-49 years,"2022-23, Arizona: 18-49 years"
2022-23,JUN,5000,49666,Federated States of Micronesia,0.1007,18-49 years,"2022-23, Federated States of Micronesia: 18-49 years"
2022-23,MAR,69797,199448,Wisconsin,0.35,2-4 years,"2022-23, Wisconsin: 2-4 years"
2023-24,JAN,328535,1414649,California,0.2322,2-4 years,"2023-24, California: 2-4 years"
2021-22,AUG,590,339143,Tennessee,0.0017,9-12 years,"2021-22, Tennessee: 9-12 years"
2021-22,FEB,140944,569627,Ohio,0.2474,5-8 years,"2021-22, Ohio: 5-8 years"
2021-22,JAN,142907,742187,Ohio,0.1925,13-17 years,"2021-22, Ohio: 13-17 years"
2021-22,JUL,6,207146,Montana,0,50-64 years,"2021-22, Montana: 50-64 years"
2021-22,JUN,,,Rhode Island,,9-12 years,"2021-22, Rhode Island: 9-12 years"
2021-22,MAR,,,Virginia,,2-4 years,"2021-22, Virginia: 2-4 years"
2022-23,JUL,254,2089234,Illinois,0.0001,65+ years,"2022-23, Illinois: 65+ years"
2022-23,JUN,28248,85458,Alabama,0.3305,6-23 months,"2022-23, Alabama: 6-23 months"
2023-24,JAN,,,Kansas,,13-17 years,"2023-24, Kansas: 13-17 years"
2023-24,MAR,26340,236563,Wyoming,0.1113,18-49 years,"2023-24, Wyoming: 18-49 years"
2021-22,MAR,1900296,4574131,Wisconsin,0.4154,18+ years,"2021-22, Wisconsin: 18+ years"
2021-22,OCT,576010,4311636,Florida,0.1336,50-64 years,"2021-22, Florida: 50-64 years"
2022-23,APR,188385,1052713,Louisiana,0.179,6 months to 17 years,"2022-23, Louisiana: 6 months to 17 years"
2022-23,DEC,,,Hawaii,,65+ years,"2022-23, Hawaii: 65+ years"
2022-23,FEB,,,Rhode Island,,18-49 years,"2022-23, Rhode Island: 18-49 years"
2022-23,JAN,1154369,2097638,Ohio,0.5503,65+ years,"2022-23, Ohio: 65+ years"
2021-22,AUG,2770,742696,Philadelphia,0.0037,18-49 years,"2021-22, Philadelphia: 18-49 years"
2022-23,JAN,46552,161075,Iowa,0.289,5-8 years,"2022-23, Iowa: 5-8 years"
2022-23,JUN,859,11986,Guam,0.0717,9-12 years,"2022-23, Guam: 9-12 years"
2022-23,NOV,103801,569627,Ohio,0.1822,5-8 years,"2022-23, Ohio: 5-8 years"
2022-23,SEP,22154,387986,District of Columbia,0.0571,18-49 years,"2022-23, District of Columbia: 18-49 years"
2022-23,SEP,316671,5188514,Indiana,0.061,18+ years,"2022-23, Indiana: 18+ years"
2023-24,JAN,315789,1190710,Missouri,0.2652,50-64 years,"2023-24, Missouri: 50-64 years"
2023-24,MAR,75286,467559,Michigan,0.161,5-8 years,"2023-24, Michigan: 5-8 years"
2023-24,OCT,26939,130824,North Dakota,0.2059,50-64 years,"2023-24, North Dakota: 50-64 years"
2023-24,SEP,0,2844,Federated States of Micronesia,0,6-23 months,"2023-24, Federated States of Micronesia: 6-23 months"
2021-22,AUG,,,Colorado,,65+ years,"2021-22, Colorado: 65+ years"
2021-22,NOV,1,22448,U.S. Virgin Islands ,0,50-64 years,"2021-22, U.S. Virgin Islands : 50-64 years"
2021-22,OCT,46463,174496,New York (excluding New York City),0.2663,6-23 months,"2021-22, New York (excluding New York City): 6-23 months"
2021-22,SEP,65,2226,N. Mariana Islands,0.0292,2-4 years,"2021-22, N. Mariana Islands: 2-4 years"
2022-23,JAN,4807,8232,Vermont,0.5839,6-23 months,"2022-23, Vermont: 6-23 months"
2022-23,JUL,2,2226,N. Mariana Islands,0.0009,2-4 years,"2022-23, N. Mariana Islands: 2-4 years"
2023-24,AUG,59,59557,Philadelphia,0.001,2-4 years,"2023-24, Philadelphia: 2-4 years"
2023-24,JUL,17,1308751,New York City,0,65+ years,"2023-24, New York City: 65+ years"
2021-22,JUL,5,17706,South Dakota,0.0003,6-23 months,"2021-22, South Dakota: 6-23 months"
2021-22,JUN,321,11986,Guam,0.0268,9-12 years,"2021-22, Guam: 9-12 years"
2021-22,MAY,2022604,6021010.5,Maryland,0.3359,Overall,"2021-22, Maryland: Overall"
2022-23,FEB,9229,46976.5,American Samoa,0.1965,Overall,"2022-23, American Samoa: Overall"
2022-23,JUN,38843,63424,Oregon,0.6124,6-23 months,"2022-23, Oregon: 6-23 months"
2023-24,NOV,12648,113842,Arkansas,0.1111,2-4 years,"2023-24, Arkansas: 2-4 years"
2023-24,OCT,1075957,4574131,Wisconsin,0.2352,18+ years,"2023-24, Wisconsin: 18+ years"
2023-24,SEP,610143,9124576,Ohio,0.0669,18+ years,"2023-24, Ohio: 18+ years"
2021-22,AUG,55,129929.5,Wyoming,0.0004,6 months to 17 years,"2021-22, Wyoming: 6 months to 17 years"
2021-22,FEB,47091,120410.5,Tennessee,0.3911,6-23 months,"2021-22, Tennessee: 6-23 months"
2021-22,SEP,1322,52303,Montana,0.0253,9-12 years,"2021-22, Montana: 9-12 years"
2022-23,DEC,,,Nebraska,,9-12 years,"2022-23, Nebraska: 9-12 years"
2022-23,MAR,538228,2437453.5,Georgia,0.2208,6 months to 17 years,"2022-23, Georgia: 6 months to 17 years"
2022-23,OCT,,,Massachusetts,,2-4 years,"2022-23, Massachusetts: 2-4 years"
2023-24,AUG,,,Rhode Island,,18-49 years,"2023-24, Rhode Island: 18-49 years"
2023-24,MAR,19762,113842,Arkansas,0.1736,2-4 years,"2023-24, Arkansas: 2-4 years"
2023-24,MAR,5295,76871,Marshall Islands,0.0689,Overall,"2023-24, Marshall Islands: Overall"
2021-22,APR,5256,38687,Wyoming,0.1359,13-17 years,"2021-22, Wyoming: 13-17 years"
2021-22,DEC,,,Kansas,,13-17 years,"2021-22, Kansas: 13-17 years"
2021-22,JUN,789749,2225691,Pennsylvania (excluding Philadelphia County),0.3548,6 months to 17 years,"2021-22, Pennsylvania (excluding Philadelphia County): 6 months to 17 years"
2022-23,NOV,22800,198053,Nevada,0.1151,13-17 years,"2022-23, Nevada: 13-17 years"
2021-22,DEC,74251,352593,South Dakota,0.2106,18-49 years,"2021-22, South Dakota: 18-49 years"
2021-22,DEC,7574,41226,Alaska,0.1837,5-8 years,"2021-22, Alaska: 5-8 years"
2021-22,DEC,124946,434609,New Jersey,0.2875,9-12 years,"2021-22, New Jersey: 9-12 years"
2021-22,OCT,,,Rhode Island,,5-8 years,"2021-22, Rhode Island: 5-8 years"
2022-23,FEB,178,7639,American Samoa,0.0233,50-64 years,"2022-23, American Samoa: 50-64 years"
2022-23,JAN,139806,385957,New York City,0.3622,5-8 years,"2022-23, New York City: 5-8 years"
2022-23,MAR,397,3732,Marshall Islands,0.1064,65+ years,"2022-23, Marshall Islands: 65+ years"
2022-23,MAY,395064,1498072,New York City,0.2637,50-64 years,"2022-23, New York City: 50-64 years"
2022-23,MAY,46222,163445,Iowa,0.2828,9-12 years,"2022-23, Iowa: 9-12 years"
2021-22,JAN,35,24141,U.S. Virgin Islands ,0.0014,6 months to 17 years,"2021-22, U.S. Virgin Islands : 6 months to 17 years"
2021-22,JUN,,,Colorado,,50-64 years,"2021-22, Colorado: 50-64 years"
2021-22,MAY,,,Nebraska,,5-8 years,"2021-22, Nebraska: 5-8 years"
2021-22,NOV,524880,4619939,Georgia,0.1136,18-49 years,"2021-22, Georgia: 18-49 years"
2021-22,NOV,24459,178339,Alabama,0.1371,2-4 years,"2021-22, Alabama: 2-4 years"
2021-22,SEP,,,Massachusetts,,50-64 years,"2021-22, Massachusetts: 50-64 years"
2022-23,SEP,1312,3481,American Samoa,0.3769,5-8 years,"2022-23, American Samoa: 5-8 years"
2023-24,DEC,126801,423451,New Jersey,0.2994,5-8 years,"2023-24, New Jersey: 5-8 years"
2023-24,DEC,24784,173878,Alaska,0.1425,6 months to 17 years,"2023-24, Alaska: 6 months to 17 years"
2023-24,SEP,89,5092,N. Mariana Islands,0.0175,13-17 years,"2023-24, N. Mariana Islands: 13-17 years"
2023-24,SEP,64593,1428520,West Virginia,0.0452,18+ years,"2023-24, West Virginia: 18+ years"
2021-22,SEP,420,34451,New Mexico,0.0122,6-23 months,"2021-22, New Mexico: 6-23 months"
2022-23,FEB,15851,54432.5,Arkansas,0.2912,6-23 months,"2022-23, Arkansas: 6-23 months"
2022-23,JUL,8,78981,Philadelphia,0.0001,5-8 years,"2022-23, Philadelphia: 5-8 years"
2022-23,MAR,,,Rhode Island,,18-49 years,"2022-23, Rhode Island: 18-49 years"
2022-23,MAR,78245,675423.5,Mississippi,0.1158,6 months to 17 years,"2022-23, Mississippi: 6 months to 17 years"
2022-23,OCT,7231,54115,Nevada,0.1336,6-23 months,"2022-23, Nevada: 6-23 months"
2021-22,DEC,6776,15564.5,North Dakota,0.4353,6-23 months,"2021-22, North Dakota: 6-23 months"
2021-22,DEC,,,Virginia,,Overall,"2021-22, Virginia: Overall"
2021-22,JAN,675139,2315421,Minnesota,0.2916,18-49 years,"2021-22, Minnesota: 18-49 years"
2021-22,JAN,,,Nebraska,,18-49 years,"2021-22, Nebraska: 18-49 years"
2021-22,JAN,427204,1268024,Minnesota,0.3369,6 months to 17 years,"2021-22, Minnesota: 6 months to 17 years"
2021-22,MAR,,,Hawaii,,65+ years,"2021-22, Hawaii: 65+ years"
2022-23,OCT,28967,105584.5,Maryland,0.2743,6-23 months,"2022-23, Maryland: 6-23 months"
2022-23,SEP,126866,1308751,New York City,0.0969,65+ years,"2022-23, New York City: 65+ years"
2023-24,DEC,38846,95451.5,Wisconsin,0.407,6-23 months,"2023-24, Wisconsin: 6-23 months"
2023-24,JAN,,,Nebraska,,6 months to 17 years,"2023-24, Nebraska: 6 months to 17 years"
2023-24,OCT,4108,17706,South Dakota,0.232,6-23 months,"2023-24, South Dakota: 6-23 months"
2021-22,MAR,244362,1209974,Texas,0.202,2-4 years,"2021-22, Texas: 2-4 years"
2022-23,APR,285354,886812,South Dakota,0.3218,Overall,"2022-23, South Dakota: Overall"
2022-23,JAN,11406,34429,Vermont,0.3313,13-17 years,"2022-23, Vermont: 13-17 years"
2022-23,OCT,,,New Hampshire,,65+ years,"2022-23, New Hampshire: 65+ years"
2023-24,AUG,15630,1180543,Tennessee,0.0132,65+ years,"2023-24, Tennessee: 65+ years"
2023-24,NOV,11517,48907,South Dakota,0.2355,9-12 years,"2023-24, South Dakota: 9-12 years"
2021-22,APR,3921931,12517504,Illinois,0.3133,Overall,"2021-22, Illinois: Overall"
2021-22,MAR,552,49666,Federated States of Micronesia,0.0111,18-49 years,"2021-22, Federated States of Micronesia: 18-49 years"
2022-23,AUG,,,Kansas,,50-64 years,"2022-23, Kansas: 50-64 years"
2022-23,AUG,138,123141,North Dakota,0.0011,65+ years,"2022-23, North Dakota: 65+ years"
2022-23,FEB,74435,212202,Minnesota,0.3508,2-4 years,"2022-23, Minnesota: 2-4 years"
2022-23,JAN,48894,198245,Oregon,0.2466,9-12 years,"2022-23, Oregon: 9-12 years"
2022-23,JUL,1161,29172250,Texas,0,Overall,"2022-23, Texas: Overall"
2022-23,NOV,50250,199448,Wisconsin,0.2519,2-4 years,"2022-23, Wisconsin: 2-4 years"
2022-23,SEP,,,Rhode Island,,6 months to 17 years,"2022-23, Rhode Island: 6 months to 17 years"
2023-24,FEB,30164,78981,Philadelphia,0.3819,5-8 years,"2023-24, Philadelphia: 5-8 years"
2023-24,MAR,341491,1375870,Idaho,0.2482,18+ years,"2023-24, Idaho: 18+ years"
2021-22,FEB,179308,503705,New York (excluding New York City),0.356,5-8 years,"2021-22, New York (excluding New York City): 5-8 years"
2021-22,FEB,26,1951,U.S. Virgin Islands ,0.0133,6-23 months,"2021-22, U.S. Virgin Islands : 6-23 months"
2021-22,JUL,0,25620,Vermont,0,9-12 years,"2021-22, Vermont: 9-12 years"
2021-22,MAR,,,South Carolina,,5-8 years,"2021-22, South Carolina: 5-8 years"
2021-22,MAR,883,3754,N. Mariana Islands,0.2352,65+ years,"2021-22, N. Mariana Islands: 65+ years"
2021-22,MAY,,,Massachusetts,,2-4 years,"2021-22, Massachusetts: 2-4 years"
2022-23,FEB,945,6780,Marshall Islands,0.1394,9-12 years,"2022-23, Marshall Islands: 9-12 years"
2022-23,MAY,1160577,3380729,Oregon,0.3433,18+ years,"2022-23, Oregon: 18+ years"
2023-24,DEC,,,Colorado,,2-4 years,"2023-24, Colorado: 2-4 years"
2023-24,JAN,296317,1526214,Indiana,0.1942,6 months to 17 years,"2023-24, Indiana: 6 months to 17 years"
2023-24,OCT,40,2844,Federated States of Micronesia,0.0141,6-23 months,"2023-24, Federated States of Micronesia: 6-23 months"
2021-22,MAY,76636,333492,Tennessee,0.2298,5-8 years,"2021-22, Tennessee: 5-8 years"
2021-22,MAY,738645,1247874,Washington,0.5919,65+ years,"2021-22, Washington: 65+ years"
2021-22,MAY,924164,2838054,Connecticut,0.3256,18+ years,"2021-22, Connecticut: 18+ years"
2021-22,NOV,10911,46331,Delaware,0.2355,9-12 years,"2021-22, Delaware: 9-12 years"
2021-22,NOV,370714,1568273.5,Philadelphia,0.2364,Overall,"2021-22, Philadelphia: Overall"
2022-23,AUG,,,South Carolina,,6 months to 17 years,"2022-23, South Carolina: 6 months to 17 years"
2021-22,JUL,89,1059160,Alabama,0.0001,6 months to 17 years,"2021-22, Alabama: 6 months to 17 years"
2021-22,JUN,,,Rhode Island,,50-64 years,"2021-22, Rhode Island: 50-64 years"
2021-22,JUN,,,South Carolina,,50-64 years,"2021-22, South Carolina: 50-64 years"
2021-22,JUN,170403,929182.5,Oklahoma,0.1834,6 months to 17 years,"2021-22, Oklahoma: 6 months to 17 years"
2021-22,NOV,3,81507,U.S. Virgin Islands ,0,18+ years,"2021-22, U.S. Virgin Islands : 18+ years"
2022-23,JAN,26319,159658,Nevada,0.1648,9-12 years,"2022-23, Nevada: 9-12 years"
2023-24,JUL,0,4748,American Samoa,0,13-17 years,"2023-24, American Samoa: 13-17 years"
2023-24,JUL,4,905560.5,Utah,4.4172e-06,6 months to 17 years,"2023-24, Utah: 6 months to 17 years"
2023-24,JUL,,,Massachusetts,,65+ years,"2023-24, Massachusetts: 65+ years"
2022-23,JUN,1988,20418,American Samoa,0.0974,18-49 years,"2022-23, American Samoa: 18-49 years"
2022-23,NOV,159062,1997031,Alabama,0.0796,18-49 years,"2022-23, Alabama: 18-49 years"
2022-23,NOV,97577,569907,Georgia,0.1712,9-12 years,"2022-23, Georgia: 9-12 years"
2022-23,OCT,,,Massachusetts,,6-23 months,"2022-23, Massachusetts: 6-23 months"
2023-24,DEC,598301,13026771,Texas,0.0459,18-49 years,"2023-24, Texas: 18-49 years"
2023-24,DEC,11343,80919,West Virginia,0.1402,9-12 years,"2023-24, West Virginia: 9-12 years"
2021-22,SEP,2809,187055,Puerto Rico,0.015,13-17 years,"2021-22, Puerto Rico: 13-17 years"
2022-23,APR,190642,1229950,Arkansas,0.155,18-49 years,"2022-23, Arkansas: 18-49 years"
2022-23,OCT,,,South Carolina,,9-12 years,"2022-23, South Carolina: 9-12 years"
2022-23,SEP,131888,2225691,Pennsylvania (excluding Philadelphia County),0.0593,6 months to 17 years,"2022-23, Pennsylvania (excluding Philadelphia County): 6 months to 17 years"
2022-23,SEP,145780,3564038,Louisiana,0.0409,18+ years,"2022-23, Louisiana: 18+ years"
2023-24,JAN,,,Kansas,,50-64 years,"2023-24, Kansas: 50-64 years"
2021-22,APR,551284,1991746,California,0.2768,9-12 years,"2021-22, California: 9-12 years"
2021-22,APR,545771,3027263,Oklahoma,0.1803,18+ years,"2021-22, Oklahoma: 18+ years"
2021-22,DEC,37244,242051,Louisiana,0.1539,5-8 years,"2021-22, Louisiana: 5-8 years"
2021-22,DEC,609308,2020773,Michigan,0.3015,50-64 years,"2021-22, Michigan: 50-64 years"
2021-22,JUL,13,245322,Alabama,0.0001,9-12 years,"2021-22, Alabama: 9-12 years"
2021-22,SEP,4078,59557,Philadelphia,0.0685,2-4 years,"2021-22, Philadelphia: 2-4 years"
2023-24,SEP,71856,1414649,California,0.0508,2-4 years,"2023-24, California: 2-4 years"
2022-23,MAR,3585,52373,Guam,0.0685,6 months to 17 years,"2022-23, Guam: 6 months to 17 years"
2022-23,MAY,112902,226967,Philadelphia,0.4974,65+ years,"2022-23, Philadelphia: 65+ years"
2023-24,JAN,35645,157739,Arkansas,0.226,9-12 years,"2023-24, Arkansas: 9-12 years"
2023-24,JUL,23,4006528,Michigan,5.7406e-06,18-49 years,"2023-24, Michigan: 18-49 years"
2023-24,NOV,99922,436260,New York City,0.229,13-17 years,"2023-24, New York City: 13-17 years"
2023-24,NOV,93727,302005,New York City,0.3103,2-4 years,"2023-24, New York City: 2-4 years"
2021-22,DEC,8357,136345,Puerto Rico,0.0613,9-12 years,"2021-22, Puerto Rico: 9-12 years"
2021-22,OCT,156448,905560.5,Utah,0.1728,6 months to 17 years,"2021-22, Utah: 6 months to 17 years"
