current_season,month,numerator,population,jurisdiction,estimate,age_group_label,legend 
2021-22,NOV,55315,151155,New Jersey,0.3659,6-23 months,"2021-22, New Jersey: 6-23 months"
2022-23,APR,24690,73520,Philadelphia,0.3358,9-12 years,"2022-23, Philadelphia: 9-12 years"
2022-23,DEC,3129,47529,Marshall Islands,0.0658,18+ years,"2022-23, Marshall Islands: 18+ years"
2023-24,DEC,3460,66724,Federated States of Micronesia,0.0519,18+ years,"2023-24, Federated States of Micronesia: 18+ years"
2023-24,JUL,2,104247,West Virginia,0,13-17 years,"2023-24, West Virginia: 13-17 years"
2021-22,AUG,1105,1661189,Oklahoma,0.0007,18-49 years,"2021-22, Oklahoma: 18-49 years"
2021-22,JAN,6286,30474,Alaska,0.2063,2-4 years,"2021-22, Alaska: 2-4 years"
2021-22,JUN,187877,873539,Louisiana,0.2151,50-64 years,"2021-22, Louisiana: 50-64 years"
2021-22,NOV,67382,479456,Arizona,0.1405,13-17 years,"2021-22, Arizona: 13-17 years"
2021-22,SEP,1176872,21623533,Florida,0.0544,Overall,"2021-22, Florida: Overall"
2022-23,SEP,29693,562524,New Jersey,0.0528,13-17 years,"2022-23, New Jersey: 13-17 years"
2023-24,FEB,645408,2225691,Pennsylvania (excluding Philadelphia County),0.29,6 months to 17 years,"2023-24, Pennsylvania (excluding Philadelphia County): 6 months to 17 years"
2023-24,JAN,45636,223181,Missouri,0.2045,2-4 years,"2023-24, Missouri: 2-4 years"
2023-24,JAN,13191,45161,Delaware,0.2921,5-8 years,"2023-24, Delaware: 5-8 years"
2021-22,APR,2129,52373,Guam,0.0407,6 months to 17 years,"2021-22, Guam: 6 months to 17 years"
2021-22,JAN,61702,199407.5,Delaware,0.3094,6 months to 17 years,"2021-22, Delaware: 6 months to 17 years"
2021-22,JUL,3,322101,Idaho,9.3138e-06,50-64 years,"2021-22, Idaho: 50-64 years"
2021-22,JUL,13,499955,Mississippi,0,65+ years,"2021-22, Mississippi: 65+ years"
2021-22,JUN,221988,678480,New York (excluding New York City),0.3272,13-17 years,"2021-22, New York (excluding New York City): 13-17 years"
2021-22,JUN,,,Kansas,,9-12 years,"2021-22, Kansas: 9-12 years"
2023-24,OCT,289970,1415568,Washington,0.2048,50-64 years,"2023-24, Washington: 50-64 years"
2022-23,MAR,625564,1089714,Missouri,0.5741,65+ years,"2022-23, Missouri: 65+ years"
2022-23,NOV,736,7726,Federated States of Micronesia,0.0953,5-8 years,"2022-23, Federated States of Micronesia: 5-8 years"
2022-23,OCT,7607,149649,Mississippi,0.0508,5-8 years,"2022-23, Mississippi: 5-8 years"
2022-23,SEP,27008,941363,Florida,0.0287,5-8 years,"2022-23, Florida: 5-8 years"
2023-24,JUL,0,161075,Iowa,0,5-8 years,"2023-24, Iowa: 5-8 years"
